depot,service_number,product,avg_seats_per_bus,route,dep_time,arr_time,planned_kms,planned_trips,planned_per_trip,breakeven_cpk,can_be_cancelled
WARANGAL-II,ED14,ED,45,HNK-HYD,09:45,08:15,550,4,137.5,39.8,0
WARANGAL-II,ED30,ED,45,HNK-HYD,12:15,09:00,550,4,137.5,39.8,0
WARANGAL-II,ED13,ED,45,HNK-HYD,09:00,07:15,550,4,137.5,39.8,0
WARANGAL-II,ED07,ED,45,HNK-HYD,07:15,22:15,532,4,133,39.8,0
WARANGAL-II,ED06,ED,45,HNK-HYD,06:30,21:30,532,4,133,39.8,0
WARANGAL-II,ED16,ED,45,HNK-HYD,11:15,09:00,550,4,137.5,39.8,0
WARANGAL-II,ED09,ED,45,HNK-HYD,07:45,22:45,532,4,133,39.8,0
WARANGAL-II,ED02,ED,45,HNK-HYD,05:15,20:15,532,4,133,39.8,0
WARANGAL-II,ED37,ED,45,HNK-HYD,04:10,21:45,532,4,133,39.8,0
WARANGAL-II,ED05,ED,45,HNK-HYD,06:15,21:15,532,4,133,39.8,0
WARANGAL-II,ED01,ED,45,HNK-HYD,04:45,19:45,532,4,133,39.8,0
WARANGAL-II,EK06,EE,54,HNK-KLSM,08:30,23:50,518,4,129.5,39.8,0
WARANGAL-II,EK07,EE,54,HNK-KLSM,09:30,07:10,518,4,129.5,39.8,0
WARANGAL-II,EK02,EE,54,HNK-KLSM,06:00,21:20,518,4,129.5,39.8,0
WARANGAL-II,EK05,EE,54,HNK-KLSM,08:00,23:20,518,4,129.5,39.8,0
WARANGAL-II,EK08,EE,54,HNK-KLSM,11:00,07:10,518,4,129.5,39.8,0
WARANGAL-II,EK04,EE,54,HNK-KLSM,07:30,22:50,518,4,129.5,39.8,0
WARANGAL-II,EK03,EE,54,HNK-KLSM,07:00,22:20,518,4,129.5,39.8,0
WARANGAL-II,EK01,EE,54,HNK-KLSM,05:00,20:20,518,4,129.5,39.8,0
WARANGAL-II,EM08,EE,54,HNK-KMM,07:00,22:10,500,4,125,39.8,0
